CustomerID,Recency,Frequency,Monetary
12747,3,96,3837.45
12748,1,4051,30301.4
12749,4,199,4090.88
12820,4,59,942.34
12826,3,82,1319.72
12828,3,56,1018.71
12839,3,292,5188.81
12841,5,373,3516.36
12856,8,314,2179.93
12867,27,538,4036.82
12877,4,154,1535.77
12901,9,116,17654.54
12906,12,63,2919.81
12910,24,75,3075.04
12912,3,24,1662.3
12913,5,46,2066.01
12919,9,50,1335.19
12921,10,685,15899.29
12925,5,45,694.05
12931,22,82,42055.96
12935,3,129,2160.7
12937,16,120,1504.27
12948,17,116,2064.95
12949,31,215,4167.22
12950,3,23,1843.0
12951,9,63,1064.07
12952,6,79,1387.79
12955,2,180,4757.16
12957,10,238,4017.54
12963,9,79,1490.83
12970,8,151,452.24
12971,4,287,10921.72
12985,1,76,1239.38
12989,4,63,6721.61
12994,5,61,974.42
13001,5,339,9818.82
13004,12,404,5655.91
13012,10,89,1661.84
13013,2,152,3282.6
13014,11,109,3466.28
13018,17,458,7277.7
13021,5,131,2616.38
13026,2,40,975.36
13047,32,155,2870.91
13048,15,136,1835.91
13050,15,385,5508.85
13064,13,69,1119.49
13069,1,382,4103.62
13077,2,98,415.55
13078,4,348,12113.55
13081,12,950,25970.6
13089,3,1777,55595.21
13090,9,147,7902.42
13097,33,423,6010.42
13098,2,572,28882.44
13102,2,293,6107.27
13104,4,20,1098.48
13113,1,190,11872.99
13115,12,120,2294.78
13126,5,127,1876.2
13137,11,704,3650.41
13139,17,170,5064.94
13148,30,301,3397.72
13149,15,86,1676.06
13159,9,121,1437.85
13174,17,145,1401.06
13178,27,265,5725.47
13183,8,94,3957.78
13184,15,181,1701.29
13196,12,110,1797.78
13198,11,226,3401.24
13199,4,115,9348.44
13209,31,321,5891.61
13211,11,56,1197.42
13225,4,32,6463.84
13230,5,598,2713.52
13232,13,207,1357.6
13246,19,141,1987.3
13263,2,1677,7454.07
13266,12,187,3834.26
13267,3,196,4193.04
13268,18,440,3214.69
13269,2,304,4994.8
13285,24,187,2709.12
13297,8,59,2089.85
13305,5,76,1864.66
13309,8,107,1456.79
13314,2,62,775.94
13316,38,87,5977.73
13318,2,20,640.76
13319,6,444,10086.27
13323,4,21,787.85
13324,37,75,7121.95
13340,46,134,10736.48
13362,10,166,3090.74
13381,32,172,3639.31
13384,31,152,4151.93
13394,2,155,2520.02
13408,2,464,26558.36
13417,5,28,640.83
13418,12,271,5135.09
13426,1,157,3641.32
13429,11,67,1006.8
13435,6,101,3809.89
13437,15,167,3408.06
13448,17,161,2709.83
13451,27,443,2976.15
13458,8,382,9646.57
13467,11,99,1083.71
13468,2,268,5122.74
13471,2,260,2531.58
13488,18,377,7586.39
13495,8,34,1533.92
13507,4,162,2479.16
13509,9,44,979.72
13510,2,115,1791.56
13521,2,436,1093.65
13523,34,142,3397.93
13527,34,223,2287.51
13534,3,296,5870.08
13536,2,179,3448.29
13558,6,175,605.06
13571,13,341,2092.32
13576,11,115,6368.19
13588,16,174,2478.95
13590,12,87,1981.92
13596,6,166,697.04
13599,2,230,4800.83
13610,13,226,1131.88
13614,25,201,1610.46
13629,24,59,7792.36
13630,6,71,2031.78
13632,25,146,2121.27
13644,17,146,2624.26
13647,10,79,1678.12
13650,17,96,1836.34
13658,10,108,2639.17
13668,3,470,6363.59
13680,2,195,3722.42
13685,3,39,3119.44
13694,4,562,64197.5
13700,27,197,2265.12
13704,6,134,2308.06
13709,4,336,6328.05
13735,25,196,2885.24
13736,6,191,731.9
13742,17,321,3131.02
13743,3,41,1341.6
13755,4,342,2161.35
13756,3,140,4656.72
13758,12,93,2471.7
13767,3,329,15396.8
13769,3,125,2474.21
13777,1,162,19137.0
13782,13,115,912.0
13784,10,31,2462.79
13798,2,310,32983.19
13804,31,137,2635.79
13808,6,76,1747.66
13822,6,96,632.0
13831,17,72,1794.99
13838,6,122,453.62
13854,9,107,7800.12
13860,2,76,1245.9
13862,19,139,2209.36
13868,8,33,3192.54
13870,3,115,2770.94
13871,23,336,6403.25
13880,22,159,3121.97
13881,4,178,17159.52
13882,3,65,1191.13
13883,11,142,2674.48
13884,8,59,787.6
13890,2,110,1883.81
13895,29,118,2593.07
13924,2,117,1838.85
13949,3,160,2427.32
13953,8,20,3515.68
13954,2,25,439.92
13956,6,152,1026.42
13969,8,601,8736.35
13971,19,149,2758.26
13975,32,338,2526.28
13985,5,349,7060.13
13988,20,234,4147.96
13994,4,155,2313.14
13995,16,86,1393.69
13999,11,208,3901.81
14004,44,171,4582.64
14005,10,84,2874.72
14030,19,216,1683.59
14031,8,222,15386.79
14032,3,129,2671.73
14040,41,235,3614.92
14049,17,488,5681.72
14051,1,196,14986.97
14056,2,1106,8214.65
14057,24,284,6217.96
14060,5,190,5519.58
14062,10,90,9498.23
14071,4,324,1438.82
14075,5,43,942.26
14083,5,115,708.89
14085,3,438,4140.49
14087,3,69,194.42
14088,11,589,50491.81
14092,8,214,4076.91
14096,5,5111,65164.79
14099,17,250,3104.17
14102,6,79,1360.28
14110,4,155,5683.15
14112,23,160,2915.15
14113,4,34,1840.42
14121,4,159,2780.15
14125,11,167,2740.43
14129,2,52,1123.86
14132,3,200,3586.03
14135,2,97,3886.06
14138,2,47,982.38
14140,4,66,935.05
14141,3,40,915.13
14146,9,210,4191.0
14159,20,1204,4693.01
14178,9,327,1620.93
14180,11,228,4546.77
14189,3,256,4342.84
14191,2,259,4684.76
14194,5,579,11349.52
14209,11,87,2073.43
14215,12,102,1623.72
14216,4,59,1839.3
14217,2,93,1886.68
14221,43,193,3432.8
14227,27,175,3350.96
14243,9,133,2375.47
14250,8,111,1904.05
14251,2,78,2879.7
14258,10,111,12669.98
14262,9,143,2618.23
14282,4,143,3158.34
14286,24,280,4628.75
14290,12,101,2314.65
14291,2,237,3883.25
14292,8,100,4871.93
14293,4,46,681.64
14298,9,1637,51527.3
14299,9,138,3536.38
14309,9,117,2352.53
14321,11,123,1530.75
14329,18,259,5014.84
14334,17,162,2552.21
14336,17,90,1614.91
14367,9,524,9261.52
14388,11,165,2900.04
14390,11,259,4429.12
14395,3,323,3199.03
14397,3,87,2612.96
14401,5,182,4051.48
14408,11,107,2606.53
14415,2,590,5900.28
14418,4,124,1937.25
14419,11,185,933.96
14422,1,222,4263.64
14426,24,224,4481.67
14428,8,144,1244.83
14432,10,382,2255.51
14440,9,42,1700.98
14441,1,51,1712.89
14446,1,293,1039.58
14449,19,208,696.86
14456,6,970,3062.4
14482,19,144,2068.15
14493,8,120,2383.24
14502,20,624,2470.67
14503,4,164,3543.26
14505,18,799,5905.64
14506,18,266,1742.47
14511,12,68,1314.81
14515,18,101,2102.09
14524,32,203,1867.68
14525,20,291,4332.2
14527,3,915,7991.49
14530,26,216,2925.91
14534,3,519,4447.05
14535,61,330,2864.19
14540,10,76,996.26
14544,25,114,2024.45
14546,6,399,2578.09
14547,4,366,4007.54
14554,11,216,2381.04
14560,8,74,2237.77
14562,4,423,5074.77
14572,4,270,2832.84
14577,13,123,859.71
14583,6,330,1052.55
14587,19,383,1601.14
14591,16,197,1447.14
14595,20,102,1740.6
14606,2,2580,11549.77
14607,16,86,16569.5
14608,5,20,1785.15
14621,2,92,1788.36
14626,24,122,2791.27
14629,5,152,959.01
14640,25,106,2125.08
14649,5,199,1417.29
14653,2,237,1947.55
14655,9,49,1932.23
14659,9,253,2529.93
14667,11,443,7555.5
14673,4,59,1362.91
14680,26,244,27073.23
14684,26,421,1236.28
14688,8,308,5185.89
14696,5,112,1784.33
14698,2,210,1250.76
14701,11,335,2549.37
14702,2,317,2973.44
14704,12,415,1546.91
14708,3,16,707.31
14709,16,196,4921.04
14711,11,357,2868.8
14713,10,314,2367.41
14719,2,237,1602.13
14720,6,37,663.81
14723,11,235,907.36
14730,2,501,2005.06
14732,9,147,2702.49
14733,17,174,7755.89
14735,4,194,6065.69
14737,4,17,1164.55
14739,5,48,3188.4
14755,10,235,5010.28
14759,5,102,1625.97
14766,9,129,2292.97
14769,3,1090,10674.75
14794,3,80,1319.91
14796,2,1091,7351.28
14800,48,334,3783.9
14808,40,235,2741.17
14810,41,232,1907.44
14825,4,111,2042.81
14849,22,371,7574.7
14859,13,58,1353.74
14866,11,98,14286.22
14868,4,144,2953.59
14869,9,71,725.7
14871,4,98,522.38
14878,13,124,1485.54
14893,10,73,1237.85
14895,8,498,11138.71
14897,8,55,1366.38
14901,12,64,1058.89
14903,22,355,2810.63
14904,3,69,1025.44
14907,4,137,2883.03
14910,3,30,434.35
14944,30,170,5900.25
14952,60,131,7413.33
14961,11,312,7044.68
14963,10,198,1487.8
15005,16,1091,6094.07
15009,13,182,1261.78
15021,9,419,1709.18
15022,12,135,905.04
15023,4,525,6342.16
15024,10,107,1170.11
15031,5,111,668.14
15033,5,510,2586.67
15034,16,394,4308.61
15039,10,1446,19302.93
15044,20,453,7700.23
15046,10,206,5213.77
15051,24,143,1391.61
15053,5,71,697.79
15058,26,276,2124.99
15061,4,294,37189.36
15065,38,155,3158.13
15073,10,54,1043.41
15078,8,418,9267.96
15089,11,145,2420.84
15093,19,92,3973.29
15105,19,101,2298.93
15106,18,100,1422.52
15113,10,100,3609.33
15114,31,197,2760.56
15117,15,79,1551.78
15123,8,106,2199.31
15125,26,127,11528.48
15134,15,73,1387.99
15136,3,68,1286.7
15144,9,217,6580.44
15145,5,67,1194.73
15150,18,343,5314.47
15152,10,271,4745.69
15156,2,55,961.49
15157,4,125,1936.07
15159,2,710,18641.01
15172,9,110,1624.05
15179,19,93,2206.95
15187,2,91,4777.18
15189,2,212,16225.39
15194,4,294,7210.37
15203,26,142,1827.8
15208,2,42,870.12
15214,2,110,1661.44
15218,11,166,5756.89
15237,2,99,1412.32
15249,32,350,6688.46
15251,10,111,10484.99
15270,16,41,2379.49
15271,8,250,2395.32
15274,5,47,716.57
15290,5,204,7943.22
15291,26,101,4339.5
15296,51,194,3672.86
15298,3,175,4402.3
15301,51,209,4396.98
15311,1,2280,59143.83
15344,1,26,563.94
15351,13,174,1685.44
15356,32,466,2616.28
15358,5,510,7722.65
15365,26,114,2314.32
15373,9,121,2081.61
15380,9,35,1460.16
15382,15,302,5955.71
15392,5,84,1535.53
15394,10,85,2183.54
15399,2,50,815.77
15426,20,206,1035.97
15427,34,306,1483.14
15434,9,55,1041.48
15436,13,329,1122.53
15443,2,382,3236.91
15444,10,219,1418.26
15453,2,286,1388.37
15465,20,90,6818.87
15471,3,77,469.48
15482,16,98,11054.96
15484,2,188,3594.31
15493,33,297,2001.8
15498,3,484,12339.68
15500,9,68,1131.56
15502,16,185,9455.53
15511,12,160,909.23
15513,34,293,13444.72
15514,13,116,2561.27
15520,2,18,343.5
15521,41,185,3000.2
15525,3,121,511.99
15527,19,163,2429.78
15529,23,655,3673.77
15531,9,228,2007.44
15532,26,256,1580.93
15544,10,233,3192.17
15547,8,702,4954.84
15550,5,61,575.63
15555,13,830,3986.39
15568,3,53,758.29
15570,8,279,3647.87
15572,5,215,2552.86
15594,16,103,1771.78
15601,12,362,6008.18
15602,9,43,1205.32
15611,10,43,1591.45
15615,11,423,10399.74
15621,5,16,1293.03
15622,44,185,3709.56
15628,5,136,2551.06
15632,16,167,3285.31
15640,5,477,12181.94
15671,19,78,2657.13
15676,19,202,3435.76
15687,9,166,2993.1
15694,1,66,5647.07
15696,34,171,2736.46
15701,3,237,1542.14
15708,41,246,3013.56
15712,10,53,1072.36
15719,33,937,5045.61
15727,17,302,5178.96
15738,19,159,4482.77
15747,13,93,974.04
15750,3,274,2124.96
15752,40,397,2377.73
15755,11,141,2364.25
15769,8,129,56160.92
15782,10,43,2614.74
15786,47,267,4932.2
15796,2,133,2711.56
15804,1,262,4206.39
15805,24,290,5157.68
15811,23,117,1928.77
15814,17,72,1945.33
15822,4,33,885.47
15838,12,164,32685.58
15845,18,138,3711.77
15854,5,140,2974.65
15856,5,615,14816.25
15858,16,147,1054.92
15861,13,546,3165.36
15867,6,432,3699.74
15877,2,129,493.28
15883,3,49,396.48
15898,2,22,867.19
15903,10,74,5126.76
15906,20,150,1567.69
15907,4,249,967.45
15910,1,267,1232.18
15916,17,142,1295.64
15932,5,115,2495.87
15948,9,60,955.24
15953,16,82,1449.54
15955,25,163,3843.88
15969,3,20,666.1
15971,18,35,4199.85
15974,40,176,3442.15
15981,25,97,3408.48
15984,3,265,2714.97
15987,13,131,1337.8
15993,9,552,2797.57
15998,37,506,3089.97
16000,3,9,12393.7
16003,30,103,2735.37
16005,13,218,615.39
16007,48,385,1701.94
16011,9,190,3124.76
16013,4,136,36068.6
16015,4,182,705.39
16016,4,166,1126.49
16019,47,152,3567.14
16029,39,230,76753.32
16033,6,1111,8660.76
16057,17,121,2263.12
16062,10,57,906.06
16066,17,102,1521.87
16076,4,129,2234.73
16094,12,63,1078.23
16103,8,48,1429.64
16115,10,284,1667.97
16126,30,117,6287.77
16128,18,89,1880.22
16133,4,338,14589.04
16143,4,101,2069.19
16145,9,224,3799.49
16156,9,130,3122.04
16161,2,459,5411.36
16168,11,95,3511.8
16169,9,85,1822.97
16173,16,84,1418.32
16180,101,162,10254.18
16186,23,198,3699.26
16187,32,295,6911.44
16191,3,134,5180.52
16200,5,179,1080.62
16201,4,111,1863.47
16210,2,98,16347.76
16240,25,135,3718.8
16241,10,648,2330.22
16242,9,294,3603.21
16255,17,244,2245.66
16258,46,135,5203.51
16265,10,220,4606.19
16271,3,133,1429.24
16283,6,166,1570.81
16293,22,102,1870.24
16295,10,79,1328.55
16303,26,162,5360.63
16322,2,37,326.75
16326,6,319,3110.96
16327,15,253,3308.62
16333,8,45,26626.8
16347,12,92,887.65
16348,33,235,1469.45
16353,4,93,6471.71
16358,2,109,2027.5
16359,8,66,1750.92
16360,5,662,3512.53
16361,10,106,896.66
16368,3,76,497.43
16369,19,118,1553.66
16376,9,125,987.01
16379,5,108,2157.4
16393,3,320,2861.41
16401,2,186,4098.32
16407,13,172,2126.93
16409,37,232,2028.88
16422,18,356,33016.2
16426,3,372,1908.25
16438,6,132,798.35
16440,8,282,3640.67
16442,2,174,616.79
16446,1,3,168472.5
16458,3,202,3482.74
16464,20,236,1314.68
16474,8,360,1871.5
16495,4,97,684.41
16496,9,95,1599.52
16513,5,35,874.59
16523,2,290,9418.47
16525,3,174,12616.01
16533,20,177,1095.56
16539,3,24,946.46
16549,11,981,4154.64
16558,1,433,7769.09
16570,16,126,3738.4
16592,5,216,4113.68
16600,5,62,813.52
16607,18,172,3347.71
16609,16,276,5493.46
16626,1,179,4413.1
16633,18,152,2883.1
16642,5,34,688.33
16652,59,118,6773.97
16655,18,261,3794.52
16656,23,69,8197.04
16657,10,208,933.62
16669,24,160,1374.87
16670,17,252,4095.9
16672,3,114,8134.94
16678,3,163,3109.99
16682,5,30,1028.0
16684,5,277,66653.56
16686,48,585,3062.83
16688,2,62,1260.86
16700,9,294,4739.61
16701,9,144,5398.3
16705,1,270,14034.99
16710,20,344,2107.57
16711,4,22,1651.03
16712,10,447,3645.43
16713,19,564,6508.7
16717,24,184,3551.13
16719,15,157,1359.69
16722,18,184,3931.29
16726,27,185,1382.02
16729,39,660,7239.92
16743,30,191,2238.09
16744,12,242,1304.76
16745,87,357,7194.3
16746,5,449,6697.66
16764,4,706,2799.25
16767,31,222,5580.6
16771,34,255,2246.81
16775,11,140,1463.76
16779,3,324,10272.81
16782,11,140,1908.2
16790,4,93,1545.62
16791,30,320,1721.78
16794,2,285,1222.71
16800,12,164,1201.49
16813,9,449,1692.98
16814,15,309,6235.81
16817,3,76,1360.55
16818,11,188,3349.57
16833,2,47,1106.53
16837,32,165,3170.98
16839,9,261,16042.11
16843,43,378,10196.57
16871,23,137,2812.34
16873,5,211,4965.98
16877,13,159,853.72
16891,2,134,577.44
16892,2,99,525.54
16899,8,125,1281.56
16904,5,679,3415.57
16905,6,198,2848.03
